2015-11-25 23:39:04,499 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pp.tests:PatientPP:1.0-SNAPSHOT @ D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\pom.xml.
2015-11-25 23:39:04,510 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pp.tests:PatientPP:1.0-SNAPSHOT @ D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\pom.xml.
2015-11-25 23:39:07,365 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-25 23:39:07,372 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-25 23:39:07,375 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-25 23:39:07,375 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-25 23:39:08,503 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pp.tests:PatientPP:1.0-SNAPSHOT @ D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\pom.xml.
2015-11-25 23:39:09,942 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-25 23:39:09,946 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-25 23:39:09,953 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-25 23:39:09,954 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-25 23:39:12,023 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-25 23:39:12,024 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-25 23:39:12,025 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-25 23:39:12,025 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
